cep,logradouro,bairro
08120340,Rua Albuquerque Pinheiro,Itaim Paulista
01452919,Avenida Brigadeiro Faria Lima 1355,Jardim Paulistano
08420725,Rua Nelson,Jardim São Pedro
04625000,Rua Nhu-Guaçu,Nova Piraju
02315150,Rua Regina Íris,Vila Mazzei
02212080,Rua José de Medeiros,Vila Medeiros
02012110,Rua Aviação,Santana
04311030,Rua Teresa Toedtli,Vila Guarani (Z Sul)
04547071,Rua Nova Cidade,Vila Olímpia
08310450,Rua Barros Madureira,Jardim Rodolfo Pirani
03242040,Rua Doutor Sílvio Noronha,Cidade Continental
02617150,Rua Rodolfo Mayer,Vila Bela Vista (Zona Norte)
05181300,Rua Dona Gertrudes Jordão,Jaraguá
01122040,Rua Samuel Brenner,Bom Retiro
03759040,Rua Nova Friburgo,Jardim Penha
08070230,Rua Domingos Mendes,Parque Cruzeiro do Sul
01551020,Rua Doutor Inácio Arruda,Vila Monumento
08452710,Travessa Alamanda-Cheirosa,Vila Lourdes
04052030,Rua Oriçanga,Mirandópolis
03757080,Praça Jacques Blondel,Jardim Penha
04940100,Rua Maria da Luz Rodrigues Ramalho,Vila Santa Lúcia
03632000,Rua Coronel Rodovalho,Penha de França
02940005,Avenida Raimundo Pereira de Magalhães,Jardim Cidade Pirituba
08151010,Rua José Soares de Macedo,Vila Conceição
08330380,Rua Sírius,Cidade Satélite Santa Bárbara
04429020,Rua Píccolo,Americanópolis
01407907,Avenida Nove de Julho 5229,Jardim Paulista
04275040,Rua Toribaté,Ipiranga
08275740,Rua Carnaval,Fazenda Aricanduva
05580030,Rua Capitão Frederico Pradel,Vila Pirajussara
05206300,Rua Antônio da Silva Santos,Vila Inácio
04202001,Rua dos Sorocabanos,Ipiranga
05661050,Rua Itajubaquara,Paraisópolis
08253260,Rua Audiências de Luz,Conjunto Residencial José Bonifácio
01155060,Rua Doutor Alfredo de Castro,Barra Funda
02071010,Rua Maria Cândida,Vila Guilherme
04857060,Rua Samuel Scott,Jardim Varginha
05762260,Rua Sebastião Martins Pereira,Parque Ipê
03818000,Rua Pedra Lavrada,Parque Císper
08485160,Rua do Musgo,Conjunto Habitacional Santa Etelvina II
09190210,Avenida Pereira Barreto,Paraíso
02134050,Praça Yedo,Vila Maria Alta
03517010,Rua Baltazar Pinto,Vila Matilde
04563060,Rua Conceição de Monte Alegre,Cidade Monções
04686002,Avenida Nossa Senhora do Sabará,Jardim Campo Grande
03728025,Rua Melo de Portugal,Jardim Danfer
02440090,Rua Professor Antônio Manoel Faria,Lauzane Paulista
08152060,Rua dos Masseiros,Jardim Bartira
03378060,Rua Fábio,Chácara Belenzinho
04064003,Avenida Ireré,Planalto Paulista
03828000,Rua Arlindo Bettio,Vila Guaraciaba
02041020,Rua Gaspar Soares,Jardim São Paulo(Zona Norte)
04693180,Rua José Inácio,Jardim Campo Grande
05467100,Praça Província de Saitama,Alto de Pinheiros
05465070,Avenida General Furtado Nascimento,Alto de Pinheiros
03813190,Rua Guido Bonici,Jardim Belém
04015050,Rua Morgado de Mateus,Vila Mariana
04218050,Rua Almirante Oliveira Pinto,Ipiranga
04510010,Praça Pereira Coutinho,Vila Nova Conceição
04548000,Avenida Doutor Cardoso de Melo,Vila Olímpia
04543121,Rua Doutor Eduardo de Souza Aranha,Vila Nova Conceição
04250090,Rua Estilac,Vila Marte
03910030,Rua Altena,Jardim Catarina
04184050,Rua Francisco Dias da Silva,Jardim Santa Emília
05171340,Rua Doutor Mário Mauro Ramos Mattoso,Jardim Santa Mônica
05570120,Rua Padre Juan de Solorzano,Jardim Paulo VI
04055020,Rua Ituxi,Saúde
04777140,Rua Luciano Felício Biondo,Jardim Cristal
05858040,Rua Miguel Francisco Dias,Cidade Auxiliadora
02510020,Rua Professor Luciano Prata,Vila Baruel
